AtomicNumber   AtomicSymbol   AtomicMass   AtomicName   AtomicRadius
1   H   1.0079   Hydrogen   0.38
2   He   4.0026   Helium   0.32
3   Li   6.941   Lithium   1.34
4   Be   9.0122   Beryllium   0.9
5   B   10.811   Boron   0.82
6   C   12.0107   Carbon   0.77
7   N   14.0067   Nitrogen   0.75
8   O   15.9994   Oxygen   0.73
9   F   18.9984   Fluorine   0.71
10   Ne   20.1797   Neon   0.69
11   Na   22.9897   Sodium   1.54
12   Mg   24.305   Magnesium   1.3
13   Al   26.9815   Aluminum   1.18
14   Si   28.0855   Silicon   1.11
15   P   30.9738   Phosphorus   1.06
16   S   32.065   Sulfur   1.02
17   Cl   35.453   Chlorine   0.99
18   Ar   39.948   Argon   0.97
19   K   39.0983   Potassium   1.96
20   Ca   40.078   Calcium   1.74
21   Sc   44.9559   Scandium   1.44
22   Ti   47.867   Titanium   1.36
23   V   50.9415   Vanadium   1.25
24   Cr   51.9961   Chromium   1.27
25   Mn   54.938   Manganese   1.39
26   Fe   55.845   Iron   1.25
27   Co   58.9332   Cobalt   1.26
28   Ni   58.6934   Nickel   1.21
29   Cu   63.546   Copper   1.38
30   Zn   65.39   Zinc   1.31
31   Ga   69.723   Gallium   1.26
32   Ge   72.64   Germanium   1.22
33   As   74.9216   Arsenic   1.19
34   Se   78.96   Selenium   1.16
35   Br   79.904   Bromine   1.14
36   Kr   83.8   Krypton   1.1
37   Rb   85.4678   Rubidium   2.11
38   Sr   87.62   Strontium   1.92
39   Y   88.9059   Yttrium   1.62
40   Zr   91.224   Zirconium   1.48
41   Nb   92.9064   Niobium   1.37
42   Mo   95.94   Molybdenum   1.45
43   Tc   98   Technetium   1.56
44   Ru   101.07   Ruthenium   1.26
45   Rh   102.9055   Rhodium   1.35
46   Pd   106.42   Palladium   1.31
47   Ag   107.8682   Silver   1.53
48   Cd   112.411   Cadmium   1.48
49   In   114.818   Indium   1.44
50   Sn   118.71   Tin   1.41
51   Sb   121.76   Antimony   1.38
52   Te   127.6   Tellurium   1.35
53   I   126.9045   Iodine   1.33
54   Xe   131.293   Xenon   1.3
55   Cs   132.9055   Cesium   2.25
56   Ba   137.327   Barium   1.98
57   La   138.9055   Lanthanum   1.69
58   Ce   140.116   Cerium   NA
59   Pr   140.9077   Praseodymium   NA
60   Nd   144.24   Neodymium   NA
61   Pm   145   Promethium   NA
62   Sm   150.36   Samarium   NA
63   Eu   151.964   Europium   NA
64   Gd   157.25   Gadolinium   NA
65   Tb   158.9253   Terbium   NA
66   Dy   162.5   Dysprosium   NA
67   Ho   164.9303   Holmium   NA
68   Er   167.259   Erbium   NA
69   Tm   168.9342   Thulium   NA
70   Yb   173.04   Ytterbium   NA
71   Lu   174.967   Lutetium   1.6
72   Hf   178.49   Hafnium   1.5
73   Ta   180.9479   Tantalum   1.38
74   W   183.84   Tungsten   1.46
75   Re   186.207   Rhenium   1.59
76   Os   190.23   Osmium   1.28
77   Ir   192.217   Iridium   1.37
78   Pt   195.078   Platinum   1.28
79   Au   196.9665   Gold   1.44
80   Hg   200.59   Mercury   1.49
81   Tl   204.3833   Thallium   1.48
82   Pb   207.2   Lead   1.47
83   Bi   208.9804   Bismuth   1.46
84   Po   209   Polonium   NA
85   At   210   Astatine   NA
86   Rn   222   Radon   1.45
87   Fr   223   Francium   NA
88   Ra   226   Radium   NA
89   Ac   227   Actinium   NA
90   Th   232.0381   Thorium   NA
91   Pa   231.0359   Protactinium   NA
92   U   238.0289   Uranium   NA
93   Np   237   Neptunium   NA
94   Pu   244   Plutonium   NA
95   Am   243   Americium   NA
96   Cm   247   Curium   NA
97   Bk   247   Berkelium   NA
98   Cf   251   Californium   NA
99   Es   252   Einsteinium   NA
100   Fm   257   Fermium   NA
101   Md   258   Mendelevium   NA
102   No   259   Nobelium   NA
103   Lr   262   Lawrencium   NA
104   Rf   261   Rutherfordium   NA
105   Db   262   Dubnium   NA
106   Sg   266   Seaborgium   NA
107   Bh   264   Bohrium   NA
108   Hs   277   Hassium   NA
109   Mt   268   Meitnerium   NA
